,QueueGroupId,datetime,CallOffered_diff,CallAnswered_diff
5731254,368,2020-12-19 11:10:45,0.0,0.0
5731338,368,2020-12-19 11:10:45,0.0,0.0
5731422,368,2020-12-19 11:10:45,0.0,0.0
5731506,368,2020-12-19 11:10:45,0.0,0.0
5731590,368,2020-12-19 11:10:45,0.0,0.0
5731674,368,2020-12-19 11:10:45,0.0,0.0
5731758,368,2020-12-19 11:10:45,0.0,0.0
5731842,368,2020-12-19 11:10:45,0.0,0.0
5731926,368,2020-12-19 11:10:45,0.0,0.0
5732010,368,2020-12-19 11:10:45,0.0,0.0
5732094,368,2020-12-19 11:10:45,0.0,0.0
5732178,368,2020-12-19 11:10:45,0.0,0.0
5732262,368,2020-12-19 11:10:45,0.0,0.0
5732346,368,2020-12-19 11:10:45,0.0,0.0
5732430,368,2020-12-19 11:10:45,0.0,0.0
5732514,368,2020-12-19 11:10:45,0.0,0.0
5732598,368,2020-12-19 11:10:45,0.0,0.0
5732682,368,2020-12-19 11:10:45,0.0,0.0
5732766,368,2020-12-19 11:10:45,0.0,0.0
5732850,368,2020-12-19 11:10:45,0.0,0.0
5732934,368,2020-12-19 11:10:45,0.0,0.0
5733018,368,2020-12-19 11:10:45,0.0,0.0
5733102,368,2020-12-19 11:10:45,0.0,0.0
5733186,368,2020-12-19 11:10:45,0.0,0.0
5733270,368,2020-12-19 11:10:45,0.0,0.0
5733354,368,2020-12-19 11:10:45,0.0,0.0
5733438,368,2020-12-19 11:10:45,0.0,0.0
5733522,368,2020-12-19 11:10:45,0.0,0.0
5733606,368,2020-12-19 11:10:45,0.0,0.0
5733690,368,2020-12-19 11:10:45,0.0,0.0
5733774,368,2020-12-19 11:10:45,0.0,0.0
5733858,368,2020-12-19 11:10:45,0.0,0.0
5733942,368,2020-12-19 11:10:45,0.0,0.0
5734026,368,2020-12-19 11:10:45,0.0,0.0
5734110,368,2020-12-19 11:10:45,0.0,0.0
5734194,368,2020-12-19 11:10:45,0.0,0.0
5734278,368,2020-12-19 11:10:45,0.0,0.0
5734362,368,2020-12-19 11:10:45,0.0,0.0
5734446,368,2020-12-19 11:10:45,0.0,0.0
5734530,368,2020-12-19 11:10:45,0.0,0.0
5734614,368,2020-12-19 11:10:45,0.0,0.0
5734698,368,2020-12-19 11:10:45,0.0,0.0
5734782,368,2020-12-19 11:10:45,0.0,0.0
5734866,368,2020-12-19 11:10:45,0.0,0.0
5734950,368,2020-12-19 11:10:45,0.0,0.0
5735034,368,2020-12-19 11:10:45,0.0,0.0
5735118,368,2020-12-19 11:10:45,0.0,0.0
5735202,368,2020-12-19 11:10:45,0.0,0.0
5735286,368,2020-12-19 11:10:45,0.0,0.0
5735370,368,2020-12-19 11:10:45,0.0,0.0
5735454,368,2020-12-19 11:10:45,0.0,0.0
5735538,368,2020-12-19 11:10:45,0.0,0.0
5735622,368,2020-12-19 11:10:45,0.0,0.0
5735706,368,2020-12-19 11:10:45,0.0,0.0
5735790,368,2020-12-19 11:10:45,0.0,0.0
5735874,368,2020-12-19 11:10:45,0.0,0.0
